Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545.45857431680,5.682861321615590,7.009188142792240,4.09,23086.800502686500,1059033.5578701200,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.64245482570,6.0028998082752400,6.730821019094920,3.09,40173.07217364480,1505890.91484695,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.067178656800,5.865889840310000,8.512727430375100,5.13,36882.15939970460,1058987.9878760800,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.24004622800,7.1882360945186400,5.586728664827650,3.26,34310.24283090710,1260616.8066294500,"USS Barnett
FPO AP 44820"
59982.197225708000,5.040554523106280,7.839387785120490,4.23,26354.109472103100,630943.4893385400,"USNS Raymond
FPO AE 09386"
80175.7541594853,4.9884077575337100,6.104512439428880,4.04,26748.428424689700,1068138.0743935300,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.46342788770,6.025335906887150,8.147759585023430,3.41,60828.24908540720,1502055.8173744100,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.33927753090,6.9897797477182800,6.620477995185030,2.42,36516.358972493800,1573936.5644777200,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.66081334960,5.36212556960358,6.3931209805509000,2.3,29387.39600281590,798869.5328331630,"USS Gilbert
FPO AA 20957"
81885.92718409570,4.423671789897880,8.167688003472350,6.1,40149.96574921340,1545154.8126419600,"Unit 9446 Box 0958
DPO AE 97025"
80527.47208292290,8.09351268063935,5.042746799645980,4.1,47224.35984022190,1707045.722158060,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.69549704280,4.496512793097040,7.467627404008020,4.49,34343.991885578800,663732.3968963270,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033.809236982400,7.671755372854430,7.250029317273500,3.1,39220.36146737250,1042814.0978200900,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.6634410467,6.919534825456560,5.9931879009455700,2.27,32326.123139488100,1291331.5184858200,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.3801843616,5.344776176735730,8.406417714534250,4.37,35521.294033173200,1402818.2101658500,"PSC 5330, Box 4420
APO AP 08302"
